URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,CHARSET1,SERVER1,WHOIS_COUNTRY1,WHOIS_STATEPRO1,WHOIS_REGDATE1,WHOIS_UPDATED_DATE1,TCP_CONVERSATION_EXCHANGE1,DIST_REMOTE_TCP_PORT1,REMOTE_IPS1,APP_BYTES1,SOURCE_APP_PACKETS1,REMOTE_APP_PACKETS1,SOURCE_APP_BYTES1,REMOTE_APP_BYTES1,APP_PACKETS1,DNS_QUERY_TIMES1,label
16,7,121,162,263,241,290,0,79,42,763,148,0,16,29,0,0,16,101,134,211,306,362,1,139,56,916,191,1,25,39,1,1,25,142,0
16,6,544,1,15087,241,290,76,79,23,49,112,1,22,24,1,1,22,892,676,1,306,362,127,139,26,49,128,1,26,26,1,1,26,976,1
16,6,151,110,324,241,290,76,79,593,763,593,593,593,590,590,593,593,892,155,113,306,362,127,139,657,916,657,657,655,590,590,655,655,976,1
17,6,382,162,162,1054,1,1,1,16,5,168,1,9,15,1,2,9,90,427,211,1103,1,1,1,16,5,183,1,9,16,1,2,9,105,1
17,6,544,175,124140,1054,10,1,2,5,77,107,1,4,2,1,1,4,276,676,175,1103,10,1,2,5,78,134,1,4,2,1,1,4,309,1
18,7,544,162,-1,3,1,1,1,21,60,41,2,23,22,1,2,23,892,676,211,3,1,1,1,30,60,42,2,35,25,1,2,35,976,1
18,6,121,13,345,1054,23,1,2,25,763,168,1,29,22,1,1,29,101,134,15,1103,24,1,2,32,916,183,1,34,25,1,1,34,142,1
19,6,151,110,324,1054,60,1,1,593,763,593,593,593,590,590,593,593,892,155,113,1103,61,1,1,657,916,657,657,655,590,590,655,655,976,1
20,5,359,4,-1,241,290,0,79,593,763,593,593,10,8,0,0,10,101,379,8,306,362,2,139,657,916,657,657,14,42,1,2,14,142,0
20,5,359,4,-1,241,290,0,79,593,763,593,593,10,0,0,0,10,101,379,8,306,362,2,139,657,916,657,657,14,1,1,2,14,142,0
